,blast,rmsd
239,6em7_ligand_2,21.362188624050766
240,3oxi_ligand_4,29.663585891066283
241,5lwp_ligand_7,33.35266312652678
242,3f1v_ligand_1,31.465288820197753
243,4mjv_ligand_1,229.86912872241027
244,6nb8_ligand_8,33.862924974446614
245,5k0n_ligand_1,10.7912490583403
246,3af9_ligand_6,28.245039198998132
247,4q8n_ligand_5,26.202135623974293
248,3rpm_ligand_8,59.49577470459562
249,3vi3_ligand_4,36.96182935214575
250,1drj_ligand_6,15.10072150121122
251,1srn_ligand_4,16.819683585785018
252,3mvj_ligand_8,24.267347375983775
253,4hyp_ligand_6,60.10142032788053
254,5oco_ligand_2,23.698788592287485
255,3iub_ligand_2,18.38883911054021
256,4fna_ligand_8,49.295460056611525
257,5xvq_ligand_6,19.230006361775157
258,1apt_ligand_8,12.291137511060134
259,6nwk_ligand_5,25.189439720875352
260,4e2j_ligand_9,30.7094435554256
261,2nwn_ligand_6,21.112049630995603
262,1nm6_ligand_8,36.165800015181404
263,1a8g_ligand_8,30.668407628455643
264,4zi2_ligand_8,7.98197809652052
265,3iiy_ligand_3,16.211861776181042
266,2h68_ligand_6,52.17173881103319
267,2uy2_ligand_2,4.133144610946973
268,5u69_ligand_9,32.9219866325429
269,5n15_ligand_2,14.876440146186752
270,7bqz_ligand_4,36.39839321181876
271,1fmb_ligand_2,25.05839946973566
272,2wo8_ligand_8,34.65451817991488
273,1nq7_ligand_8,29.060475537747138
274,3k3q_ligand_5,27.728917779356006
275,5eei_ligand_1,6.474550325161083
276,5w2o_ligand_8,41.389540985616165
277,4ui3_ligand_7,24.85632735122597
278,3cfb_ligand_5,18.881051822307636
279,6p39_ligand_8,35.05187635615184
280,5jdv_ligand_3,27.598706234169747
281,1noi_ligand_5,39.26847568797576
282,5fx3_ligand_6,37.50507993925623
283,2vq1_ligand_7,45.92858379818952
284,3dym_ligand_8,35.3222446890766
285,3lht_ligand_4,26.079935911858886
286,3dm6_ligand_5,62.18979334918886
287,5n8a_ligand_2,14.953797981555413
288,1cge_ligand_3,15.83843647913039
289,5fwq_ligand_4,22.371043061660462
290,3ody_ligand_3,36.22284624193227
291,5d83_ligand_7,45.3481066313426
292,4b7p_ligand_9,30.929128721293353
293,3nf3_ligand_3,33.130047761219934
294,5yh5_ligand_3,23.305919432011873
295,1vgy_ligand_7,79.15800983265476
296,4lc6_ligand_4,40.472918043530456
297,4zse_ligand_3,31.745628934759107
298,4n3w_ligand_9,20.257036152345176
299,3ubx_ligand_5,58.72761216803778
300,3act_ligand_8,53.583323457334494
301,5coi_ligand_2,15.811130527434006
302,3rok_ligand_6,35.588684725625924
303,1xja_ligand_3,134.83543738770356
304,2nx3_ligand_9,92.13519078108357
305,5fx3_ligand_5,35.514709968949084
306,1b5x_ligand_5,22.805242206527005
307,1p1n_ligand_4,28.134968465931276
308,1jqj_ligand_6,79.19279296122848
309,3lv5_ligand_4,32.02646783521405
310,1h9q_ligand_5,27.482528029277074
311,1aim_ligand_5,22.516606054199197
312,1f86_ligand_3,19.4409166548533
313,3cvm_ligand_7,44.42352385972306
314,5ew0_ligand_2,17.52611127052053
315,6uz6_ligand_9,20.186497558821532
316,3asx_ligand_5,9.784288778544957
317,4r3p_ligand_4,34.97609972498681
318,4cp9_ligand_1,48.477979122071496
319,1qj4_ligand_1,28.59261056367805
320,5t92_ligand_6,5.901758181793256
321,3k3j_ligand_6,39.37957166929502
322,3ody_ligand_1,35.17782836579503
323,3i6c_ligand_3,18.11787914679248
324,3su1_ligand_7,18.245174920372783
325,2a5k_ligand_6,7.158740582481861
326,6aym_ligand_2,45.37134949899551
327,5oow_ligand_2,44.40378614970317
328,4u6h_ligand_5,19.117899140057514
329,2qhc_ligand_9,18.007699274372893
330,2gph_ligand_8,33.7809054031585
